,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
4794,VEREADOR,PAULO ROBERTO FERREIRA PEIXOTO SOBRINHO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,51,ENSINO MÉDIO COMPLETO,TANGUÁ
4795,VEREADOR,PAULO SERGIO DE CASTRO,#NULO#,DEMOCRATAS,MASCULINO,BRANCA,45,ENSINO FUNDAMENTAL INCOMPLETO,PETRÓPOLIS
4796,VEREADOR,JOÃO BATISTA LIMA DA SILVA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,BRANCA,59,ENSINO MÉDIO COMPLETO,JAPERI
4797,VEREADOR,CLAUDIA LINS LIMA LEAL,#NULO#,DEMOCRATAS,FEMININO,BRANCA,56,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
4798,VEREADOR,MARCOS JOSE RODRIGUES MACHADO,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,BRANCA,40,SUPERIOR COMPLETO,SAQUAREMA
4799,VEREADOR,EDUARDO CARNEIRO DE AMORIM,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,PRETA,46,ENSINO MÉDIO COMPLETO,SAQUAREMA
4800,VEREADOR,ADHAMO CESAR SEDA DE ASSIS,#NULO#,PARTIDO TRABALHISTA NACIONAL,MASCULINO,BRANCA,43,ENSINO MÉDIO INCOMPLETO,ITAGUAÍ
4801,VEREADOR,EDSON DA SILVA GAMA,#NULO#,PARTIDO SOCIALISMO E LIBERDADE,MASCULINO,BRANCA,56,SUPERIOR COMPLETO,CABO FRIO
4802,VEREADOR,ANGELA MARIA VIEIRA GOMES,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,BRANCA,48,ENSINO FUNDAMENTAL INCOMPLETO,PARATY
4803,VEREADOR,LINDOMAR RODRIGUES DUARTE,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,BRANCA,39,ENSINO MÉDIO INCOMPLETO,MIRACEMA
4804,VEREADOR,ADRIANA OLIVEIRA DOS SANTOS,#NULO#,PARTIDO PROGRESSISTA,FEMININO,PARDA,45,ENSINO MÉDIO COMPLETO,ARARUAMA
4805,VEREADOR,EDMAR DA SILVA HENRIQUES,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,64,SUPERIOR COMPLETO,SÃO FRANCISCO DE ITABAPOANA
4806,VEREADOR,DARLAN ARAÚJO CABRAL,#NULO#,PARTIDO DOS TRABALHADORES,MASCULINO,PARDA,31,SUPERIOR COMPLETO,ARARUAMA
4807,VEREADOR,ZILENE SALES DA SILVA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,BRANCA,40,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS
4808,VEREADOR,VIRGINIA ETELVINA DE GUADALUPE MONVOISIN,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,FEMININO,BRANCA,60,ENSINO MÉDIO COMPLETO,RIO BONITO
4809,VEREADOR,ADRIANO COSTA GONÇALVES,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,PARDA,42,SUPERIOR INCOMPLETO,MANGARATIBA
4810,VEREADOR,RICARDO DA SILVA ALMEIDA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,MASCULINO,PRETA,34,ENSINO MÉDIO INCOMPLETO,SAQUAREMA
