,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
8306,VEREADOR,AGAPITO DA SILVA PLOUVIER,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,44,ENSINO FUNDAMENTAL COMPLETO,SÃO FIDÉLIS,-1
8307,VEREADOR,FRANCISCA CLEUDA DA SILVA,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,BRANCA,48,ENSINO MÉDIO COMPLETO,TERESÓPOLIS,0
8308,VEREADOR,CLAUDIA SANTOS DA SILVA SANTOS,#NULO#,PARTIDO SOCIAL LIBERAL,FEMININO,NEGRA,49,ENSINO MÉDIO COMPLETO,RESENDE,-1
8309,VEREADOR,THAMARA CRUZ DA SILVA,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,BRANCA,24,ENSINO MÉDIO COMPLETO,SÃO JOÃO DE MERITI,-1
8310,VEREADOR,CARLOS ALBERTO FOSSATI SIMÕES FILHO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,34,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO,0
8312,VEREADOR,EDUARDO DARIO TEIXEIRA,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,NEGRA,53,ENSINO MÉDIO INCOMPLETO,BARRA MANSA,-1
8313,VEREADOR,MAURICIO ROBERTO ALVES PIRES,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,BRANCA,48,ENSINO MÉDIO INCOMPLETO,NOVA IGUAÇU,-1
8314,VEREADOR,THAIS SILVA FERNANDES DE SOUZA,#NULO#,PARTIDO DOS TRABALHADORES,FEMININO,BRANCA,18,ENSINO MÉDIO COMPLETO,BOM JESUS DO ITABAPOANA,0
8315,VEREADOR,MARIA JOSÉ HENRIQUE MEDEIROS DA COSTA,#NULO#,PARTIDO SOCIAL CRISTÃO,FEMININO,BRANCA,34,SUPERIOR COMPLETO,ITALVA,0
8316,VEREADOR,FLAVIO COSTA E SILVA,#NULO#,DEMOCRATAS,MASCULINO,NEGRA,52,ENSINO FUNDAMENTAL INCOMPLETO,MESQUITA,-1
8317,VEREADOR,JOSÉ ANTONIO ALVES,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,BRANCA,61,ENSINO MÉDIO COMPLETO,ARARUAMA,0
8318,VEREADOR,MARIA DAS DORES GUIMARÃES,#NULO#,PARTIDO PROGRESSISTA,FEMININO,BRANCA,49,ENSINO FUNDAMENTAL INCOMPLETO,CARDOSO MOREIRA,0
8319,VEREADOR,LUCIENE DE ASSIS SOUZA SILVA,#NULO#,DEMOCRATAS,FEMININO,BRANCA,33,ENSINO MÉDIO COMPLETO,SANTO ANTÔNIO DE PÁDUA,-1
8320,VEREADOR,ADEMIR DIVINO PEDROTI,#NULO#,REDE SUSTENTABILIDADE,MASCULINO,BRANCA,64,ENSINO MÉDIO COMPLETO,BARRA MANSA,0
8321,VEREADOR,ROSALDO VELASCO MACHADO,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,BRANCA,52,SUPERIOR INCOMPLETO,RIO BONITO,0
8322,VEREADOR,ALEXSANDRO DA SILVA SANTOS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,NEGRA,40,ENSINO MÉDIO COMPLETO,QUEIMADOS,-1
8323,VEREADOR,MILTON FERNANDES DE OLIVEIRA JUNIOR,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,NEGRA,41,ENSINO FUNDAMENTAL COMPLETO,VOLTA REDONDA,-1
8324,VEREADOR,DOUGLAS JOSÉ DE LIMA PEREIRA,#NULO#,PARTIDO DOS TRABALHADORES,MASCULINO,BRANCA,35,SUPERIOR INCOMPLETO,VOLTA REDONDA,-1
8325,VEREADOR,LUIZ MARIO RANGEL,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,58,ENSINO MÉDIO COMPLETO,ARARUAMA,0
8326,VEREADOR,CLÁUDIO ELIX DOS SANTOS,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,45,ENSINO FUNDAMENTAL COMPLETO,SÃO JOSÉ DO VALE DO RIO PRETO,0
8327,VEREADOR,DELZA OLIVEIRA SANT ANNA DE ALMEIDA,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,FEMININO,BRANCA,51,SUPERIOR COMPLETO,DUQUE DE CAXIAS,0
8329,VEREADOR,FABRICIO DE OLIVEIRA SILVA,#NULO#,REDE SUSTENTABILIDADE,MASCULINO,BRANCA,25,ENSINO MÉDIO INCOMPLETO,BELFORD ROXO,-1
8330,VEREADOR,GRACINEIDE DE LIMA SILVA,#NULO#,PARTIDO COMUNISTA DO BRASIL,FEMININO,NEGRA,41,ENSINO FUNDAMENTAL INCOMPLETO,MESQUITA,-1
8331,VEREADOR,ERENILSON JARDIM MARINHO,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,BRANCA,51,ENSINO MÉDIO COMPLETO,CASIMIRO DE ABREU,-1
