,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
IBICOARA,28,34.1,54,65.9,16.0,19.5,66,80.5,0.0,0.0,0.0,0.0,32,39.0,41,50.0,3,3.7,6.0,7.3
IBICUÍ,19,33.3,38,66.7,15.0,26.3,42,73.7,0.0,0.0,0.0,0.0,29,50.9,20,35.1,8,14.0,0.0,0.0
IBIPEBA,13,33.3,26,66.7,4.0,10.3,35,89.7,0.0,0.0,0.0,0.0,22,56.4,9,23.1,4,10.3,4.0,10.3
IBIPITANGA,10,32.3,21,67.7,17.0,54.8,14,45.2,0.0,0.0,0.0,0.0,12,38.7,11,35.5,6,19.4,2.0,6.5
IBIQUERA,12,40.0,18,60.0,1.0,3.3,29,96.7,0.0,0.0,0.0,0.0,12,40.0,12,40.0,6,20.0,0.0,0.0
IBIRAPITANGA,19,31.1,42,68.9,6.0,9.8,55,90.2,0.0,0.0,0.0,0.0,35,57.4,13,21.3,12,19.7,1.0,1.6
IBIRAPUÃ,16,33.3,32,66.7,15.0,31.2,33,68.8,0.0,0.0,0.0,0.0,16,33.3,24,50.0,8,16.7,0.0,0.0
IBIRATAIA,33,30.8,74,69.2,9.0,8.4,98,91.6,0.0,0.0,0.0,0.0,60,56.1,28,26.2,19,17.8,0.0,0.0
IBITIARA,15,32.6,31,67.4,11.0,23.9,35,76.1,0.0,0.0,0.0,0.0,22,47.8,16,34.8,7,15.2,1.0,2.2
IBITITÁ,14,32.6,29,67.4,26.0,60.5,17,39.5,0.0,0.0,0.0,0.0,23,53.5,6,14.0,13,30.2,1.0,2.3
IBOTIRAMA,11,31.4,24,68.6,5.0,14.3,30,85.7,0.0,0.0,0.0,0.0,15,42.9,9,25.7,11,31.4,0.0,0.0
ICHU,10,31.2,22,68.8,16.0,50.0,16,50.0,0.0,0.0,0.0,0.0,20,62.5,6,18.8,6,18.8,0.0,0.0
IGAPORÃ,11,33.3,22,66.7,28.0,84.8,5,15.2,0.0,0.0,0.0,0.0,20,60.6,3,9.1,7,21.2,3.0,9.1
IGRAPIÚNA,20,29.9,47,70.1,2.0,3.0,65,97.0,0.0,0.0,0.0,0.0,26,38.8,25,37.3,14,20.9,2.0,3.0
IGUAÍ,20,32.3,42,67.7,24.0,38.7,38,61.3,0.0,0.0,0.0,0.0,22,35.5,32,51.6,6,9.7,2.0,3.2
ILHÉUS,122,31.0,272,69.0,73.0,18.5,314,79.7,6.0,1.5,1.0,0.3,180,45.7,83,21.1,110,27.9,21.0,5.3
INHAMBUPE,42,31.6,91,68.4,27.0,20.3,105,78.9,1.0,0.8,0.0,0.0,69,51.9,34,25.6,27,20.3,3.0,2.3
IPECAETÁ,28,34.1,54,65.9,32.0,39.0,50,61.0,0.0,0.0,0.0,0.0,28,34.1,32,39.0,11,13.4,11.0,13.4
IPIAÚ,41,34.7,77,65.3,19.0,16.1,99,83.9,0.0,0.0,0.0,0.0,68,57.6,26,22.0,24,20.3,0.0,0.0
IPIRÁ,26,32.1,55,67.9,13.0,16.0,68,84.0,0.0,0.0,0.0,0.0,33,40.7,29,35.8,18,22.2,1.0,1.2
IPUPIARA,9,33.3,18,66.7,18.0,66.7,9,33.3,0.0,0.0,0.0,0.0,14,51.9,7,25.9,1,3.7,5.0,18.5
IRAJUBA,23,35.9,41,64.1,12.0,18.8,52,81.2,0.0,0.0,0.0,0.0,25,39.1,25,39.1,10,15.6,4.0,6.2
IRAMAIA,19,34.5,36,65.5,11.0,20.0,44,80.0,0.0,0.0,0.0,0.0,26,47.3,8,14.5,5,9.1,16.0,29.1
IRAQUARA,26,32.5,54,67.5,9.0,11.2,71,88.8,0.0,0.0,0.0,0.0,43,53.8,20,25.0,15,18.8,2.0,2.5
IRARÁ,35,33.3,70,66.7,3.0,2.9,102,97.1,0.0,0.0,0.0,0.0,54,51.4,32,30.5,15,14.3,4.0,3.8
IRECÊ,45,31.9,96,68.1,56.0,39.7,85,60.3,0.0,0.0,0.0,0.0,75,53.2,17,12.1,47,33.3,2.0,1.4
ITABELA,31,31.6,67,68.4,16.0,16.3,81,82.7,0.0,0.0,1.0,1.0,43,43.9,38,38.8,16,16.3,1.0,1.0
ITABERABA,36,30.3,83,69.7,34.0,28.6,85,71.4,0.0,0.0,0.0,0.0,59,49.6,22,18.5,38,31.9,0.0,0.0
ITABUNA,125,32.6,258,67.4,64.0,16.7,319,83.3,0.0,0.0,0.0,0.0,193,50.4,67,17.5,105,27.4,18.0,4.7
ITACARÉ,40,33.1,81,66.9,22.0,18.2,99,81.8,0.0,0.0,0.0,0.0,62,51.2,35,28.9,24,19.8,0.0,0.0
ITAETÉ,18,34.0,35,66.0,14.0,26.4,39,73.6,0.0,0.0,0.0,0.0,32,60.4,11,20.8,8,15.1,2.0,3.8
ITAGI,16,34.8,30,65.2,6.0,13.0,40,87.0,0.0,0.0,0.0,0.0,27,58.7,13,28.3,6,13.0,0.0,0.0
ITAGIBÁ,38,34.5,72,65.5,26.0,23.6,84,76.4,0.0,0.0,0.0,0.0,59,53.6,28,25.5,19,17.3,4.0,3.6
ITAGIMIRIM,28,33.3,56,66.7,7.0,8.3,77,91.7,0.0,0.0,0.0,0.0,48,57.1,27,32.1,8,9.5,1.0,1.2
ITAGUAÇU DA BAHIA,12,32.4,25,67.6,3.0,8.1,34,91.9,0.0,0.0,0.0,0.0,22,59.5,10,27.0,4,10.8,1.0,2.7
ITAJU DO COLÔNIA,13,31.0,29,69.0,6.0,14.3,35,83.3,0.0,0.0,1.0,2.4,25,59.5,10,23.8,7,16.7,0.0,0.0
ITAJUÍPE,31,33.0,63,67.0,20.0,21.3,74,78.7,0.0,0.0,0.0,0.0,50,53.2,24,25.5,15,16.0,5.0,5.3
ITAMARAJU,58,31.4,127,68.6,16.0,8.6,169,91.4,0.0,0.0,0.0,0.0,101,54.6,49,26.5,29,15.7,6.0,3.2
ITAMARI,11,33.3,22,66.7,11.0,33.3,22,66.7,0.0,0.0,0.0,0.0,23,69.7,5,15.2,5,15.2,0.0,0.0
ITAMBÉ,24,33.8,47,66.2,8.0,11.3,63,88.7,0.0,0.0,0.0,0.0,28,39.4,24,33.8,19,26.8,0.0,0.0
ITANAGRA,30,34.9,56,65.1,17.0,19.8,68,79.1,1.0,1.2,0.0,0.0,38,44.2,35,40.7,13,15.1,0.0,0.0
ITANHÉM,20,31.7,43,68.3,26.0,41.3,37,58.7,0.0,0.0,0.0,0.0,34,54.0,8,12.7,19,30.2,2.0,3.2
ITAPARICA,35,33.0,71,67.0,6.0,5.7,100,94.3,0.0,0.0,0.0,0.0,68,64.2,19,17.9,16,15.1,3.0,2.8
ITAPEBI,34,34.3,65,65.7,12.0,12.1,87,87.9,0.0,0.0,0.0,0.0,52,52.5,27,27.3,13,13.1,7.0,7.1
ITAPETINGA,65,32.8,133,67.2,49.0,24.7,149,75.3,0.0,0.0,0.0,0.0,102,51.5,44,22.2,48,24.2,4.0,2.0
ITAPICURU,21,31.3,46,68.7,1.0,1.5,66,98.5,0.0,0.0,0.0,0.0,29,43.3,28,41.8,9,13.4,1.0,1.5
ITAPITANGA,18,31.6,39,68.4,2.0,3.5,55,96.5,0.0,0.0,0.0,0.0,30,52.6,23,40.4,4,7.0,0.0,0.0
ITAPÉ,18,34.6,34,65.4,3.0,5.8,48,92.3,0.0,0.0,1.0,1.9,26,50.0,11,21.2,4,7.7,11.0,21.2
ITAQUARA,12,31.6,26,68.4,14.0,36.8,24,63.2,0.0,0.0,0.0,0.0,20,52.6,14,36.8,4,10.5,0.0,0.0
ITARANTIM,36,35.3,66,64.7,24.0,23.5,76,74.5,0.0,0.0,2.0,2.0,55,53.9,35,34.3,11,10.8,1.0,1.0
ITATIM,10,32.3,21,67.7,15.0,48.4,16,51.6,0.0,0.0,0.0,0.0,19,61.3,8,25.8,4,12.9,0.0,0.0
ITIRUÇU,13,34.2,25,65.8,14.0,36.8,24,63.2,0.0,0.0,0.0,0.0,20,52.6,13,34.2,5,13.2,0.0,0.0
ITIÚBA,23,32.9,47,67.1,22.0,31.4,47,67.1,1.0,1.4,0.0,0.0,39,55.7,18,25.7,12,17.1,1.0,1.4
ITORORÓ,23,31.1,51,68.9,5.0,6.8,69,93.2,0.0,0.0,0.0,0.0,36,48.6,22,29.7,15,20.3,1.0,1.4
ITUAÇU,20,31.7,43,68.3,12.0,19.0,51,81.0,0.0,0.0,0.0,0.0,27,42.9,24,38.1,8,12.7,4.0,6.3
ITUBERÁ,36,32.1,76,67.9,9.0,8.0,102,91.1,1.0,0.9,0.0,0.0,44,39.3,45,40.2,21,18.8,2.0,1.8
IUIU,11,36.7,19,63.3,4.0,13.3,26,86.7,0.0,0.0,0.0,0.0,16,53.3,5,16.7,8,26.7,1.0,3.3
JABORANDI,18,38.3,29,61.7,32.0,68.1,15,31.9,0.0,0.0,0.0,0.0,27,57.4,10,21.3,6,12.8,4.0,8.5
JACARACI,29,35.4,53,64.6,35.0,42.7,47,57.3,0.0,0.0,0.0,0.0,25,30.5,27,32.9,10,12.2,20.0,24.4
JACOBINA,66,33.5,131,66.5,50.0,25.4,146,74.1,1.0,0.5,0.0,0.0,99,50.3,43,21.8,52,26.4,3.0,1.5
JAGUAQUARA,29,33.3,58,66.7,6.0,6.9,80,92.0,1.0,1.1,0.0,0.0,34,39.1,39,44.8,13,14.9,1.0,1.1
JAGUARARI,27,33.8,53,66.2,14.0,17.5,63,78.8,3.0,3.8,0.0,0.0,45,56.2,22,27.5,11,13.8,2.0,2.5
JAGUARIPE,17,34.0,33,66.0,1.0,2.0,49,98.0,0.0,0.0,0.0,0.0,21,42.0,17,34.0,12,24.0,0.0,0.0
JANDAÍRA,21,33.9,41,66.1,21.0,33.9,40,64.5,1.0,1.6,0.0,0.0,42,67.7,10,16.1,10,16.1,0.0,0.0
JEQUIÉ,76,32.6,157,67.4,65.0,27.9,168,72.1,0.0,0.0,0.0,0.0,111,47.6,52,22.3,70,30.0,0.0,0.0
JEREMOABO,18,32.7,37,67.3,14.0,25.5,41,74.5,0.0,0.0,0.0,0.0,29,52.7,19,34.5,6,10.9,1.0,1.8
