,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
241,Pilão Arcado,99.0,82,85.0,103.62,2924405,-10.0051,-42.4936
242,Pindobaçu,130.0,104,119.0,103.1,2924603,-10.7433,-40.3675
243,Pintadas,0.0,111,56.0,84.38,2924652,-11.8117,-39.9009
244,Piripá,198.0,106,101.0,120.03,2924702,-14.9444,-41.7168
245,Piritiba,90.0,81,100.0,101.19,2924801,-11.73,-40.5587
246,Planaltino,0.0,72,99.0,94.79,2924900,-13.2618,-40.3695
247,Planalto,324.0,27,105.0,43.28,2925006,-14.6654,-40.4718
248,Poções,195.0,52,35.0,100.11,2925105,-14.5234,-40.3634
249,Pojuca,28.0,111,107.0,108.23,2925204,-12.4303,-38.3374
250,Ponto Novo,0.0,117,105.0,122.82,2925253,-10.8653,-40.1311
251,Porto Seguro,87.0,85,97.0,111.45,2925303,-16.4435,-39.0643
252,Potiraguá,0.0,116,100.0,119.61,2925402,-15.5943,-39.8638
253,Prado,0.0,77,51.0,97.09,2925501,-17.3364,-39.2227
254,Presidente Dutra,509.0,108,47.0,86.83,2925600,-11.2923,-41.9843
255,Presidente Tancredo Neves,98.0,115,71.0,107.31,2925758,-13.4471,-39.4203
256,Queimadas,0.0,135,74.0,123.86,2925808,-10.9736,-39.6293
257,Quixabeira,128.0,106,76.0,114.36,2925931,-11.4031,-40.12
258,Rafael Jambeiro,0.0,91,76.0,107.99,2925956,-12.4053,-39.5007
259,Remanso,0.0,136,78.0,140.43,2926004,-9.619439999999999,-42.0848
260,Retirolândia,115.0,59,73.0,80.13,2926103,-11.4832,-39.4234
261,Rodelas,0.0,53,54.0,71.22,2927101,-8.85021,-38.78
262,Ruy Barbosa,50.0,68,121.0,73.17,2927200,-12.2816,-40.4931
263,Salvador,82.0,77,82.0,105.22,2927408,-12.9718,-38.5011
264,Santa Bárbara,97.0,119,113.0,114.53,2927507,-11.9515,-38.9681
265,Santa Brígida,166.0,90,107.0,115.0,2927606,-9.73227,-38.1209
266,Santa Cruz Cabrália,0.0,110,108.0,101.15,2927705,-16.2825,-39.0295
267,Santa Inês,139.0,115,128.0,106.03,2927903,-13.2793,-39.814
268,Santa Luzia,58.0,95,67.0,100.45,2928059,-15.4342,-39.3287
269,Santaluz,0.0,112,83.0,115.97,2928000,-11.2508,-39.375
270,Santana,392.0,114,104.0,116.48,2928208,-12.9792,-44.0506
271,Santanópolis,115.0,101,87.0,91.45,2928307,-12.0311,-38.8694
272,Santo Amaro,65.0,104,74.0,106.77,2928604,-12.5472,-38.7137
273,São Desidério,212.0,78,75.0,96.27,2928901,-12.3572,-44.9769
274,São Domingos,0.0,88,76.0,91.76,2928950,-11.4649,-39.5268
275,São Felipe,37.0,62,101.0,97.26,2929107,-12.8394,-39.0893
276,São Félix,68.0,103,73.0,98.61,2929008,-12.6104,-38.9727
277,São Gabriel,0.0,112,82.0,114.29,2929255,-11.2175,-41.8843
278,Sapeaçu,29.0,58,107.0,98.21,2929602,-12.7208,-39.1824
279,Sátiro Dias,93.0,122,103.0,121.36,2929701,-11.5929,-38.5938
280,Saubara,57.0,100,111.0,110.38,2929750,-12.7387,-38.7625
281,Saúde,0.0,71,81.0,92.3,2929800,-10.9428,-40.4155
282,Seabra,127.0,78,55.0,77.56,2929909,-12.4169,-41.7722
283,Sento Sé,88.0,64,73.0,94.58,2930204,-9.74138,-41.8786
284,Serra Dourada,0.0,58,35.0,61.82,2930303,-12.759,-43.9504
285,Serra Preta,90.0,107,31.0,101.15,2930402,-12.155999999999999,-39.3305
286,Serrinha,95.0,86,113.0,104.5,2930501,-11.6584,-39.01
287,Serrolândia,102.0,80,71.0,66.59,2930600,-11.4085,-40.2983
288,Simões Filho,56.0,118,36.0,109.51,2930709,-12.7866,-38.4029
289,Sobradinho,307.0,79,81.0,93.48,2930774,-9.450239999999999,-40.8145
290,Souto Soares,0.0,138,119.0,125.3,2930808,-12.088,-41.6427
291,Tanhaçu,0.0,111,82.0,129.33,2931004,-14.0197,-41.2473
292,Tanque Novo,0.0,15,119.0,71.15,2931053,-13.5485,-42.4934
293,Tanquinho,91.0,113,113.0,112.82,2931103,-11.968,-39.1033
294,Taperoá,118.0,76,104.0,91.01,2931202,-13.5321,-39.1009
295,Tapiramutá,73.0,102,90.0,90.23,2931301,-11.8475,-40.7927
296,Teodoro Sampaio,0.0,108,100.0,104.81,2931400,-12.295,-38.6347
297,Teofilândia,75.0,95,104.0,103.43,2931509,-11.4827,-38.9913
298,Teolândia,201.0,119,49.0,100.64,2931608,-13.5896,-39.484
299,Terra Nova,88.0,107,26.0,105.92,2931707,-12.3888,-38.6238
300,Tremedal,0.0,86,110.0,84.73,2931806,-14.9736,-41.4142
301,Tucano,0.0,57,134.0,75.56,2931905,-10.9584,-38.7894
302,Uauá,180.0,76,74.0,98.65,2932002,-9.83325,-39.4794
303,Ubaíra,63.0,86,87.0,82.74,2932101,-13.2714,-39.666
304,Ubaitaba,0.0,119,35.0,116.51,2932200,-14.302999999999999,-39.3222
305,Ubatã,0.0,98,126.0,102.26,2932309,-14.2063,-39.5207
306,Umburanas,123.0,83,46.0,74.12,2932457,-10.7339,-41.3234
307,Una,144.0,105,105.0,106.75,2932507,-15.2791,-39.0765
308,Urandi,0.0,47,101.0,79.92,2932606,-14.7678,-42.6498
309,Uruçuca,46.0,114,79.0,107.36,2932705,-14.5963,-39.2851
310,Utinga,0.0,128,114.0,126.34,2932804,-12.0783,-41.0954
311,Valença,93.0,108,77.0,113.57,2932903,-13.3669,-39.073
312,Valente,0.0,134,103.0,127.22,2933000,-11.4062,-39.457
313,Várzea Nova,0.0,105,100.0,123.39,2933158,-11.2557,-40.9432
314,Varzedo,57.0,86,87.0,98.87,2933174,-12.9672,-39.3919
315,Vera Cruz,80.0,97,102.0,107.51,2933208,-12.9568,-38.6153
316,Vereda,0.0,116,93.0,97.61,2933257,-17.2183,-40.0974
317,Wagner,110.0,83,86.0,106.94,2933406,-12.2819,-41.1715
318,Wanderley,0.0,93,108.0,90.81,2933455,-12.1144,-43.8958
319,Wenceslau Guimarães,123.0,118,111.0,112.53,2933505,-13.6908,-39.4762
320,Xique-Xique,198.0,116,116.0,113.99,2933604,-10.823,-42.7245
